Duration,Protocol-type,Service,Flag,Src-bytes,Dst-bytes,Class
0,tcp,http,SF,199,420,normal
0,tcp,private,REJ,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
0,tcp,remote_job,S0,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
0,tcp,ftp_data,SF,491,0,normal
0,udp,other,SF,146,0,normal
0,tcp,private,S0,0,0,anomaly
0,tcp,http,SF,232,8153,normal
0,tcp,http,SF,199,420,normal
0,tcp,private,REJ,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
0,tcp,remote_job,S0,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
0,tcp,ftp_data,SF,491,0,normal
0,udp,other,SF,146,0,normal
0,tcp,private,S0,0,0,anomaly
0,tcp,http,SF,232,8153,normal
0,tcp,http,SF,199,420,normal
0,tcp,private,REJ,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
0,tcp,remote_job,S0,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
0,tcp,ftp_data,SF,491,0,normal
0,udp,other,SF,146,0,normal
0,tcp,private,S0,0,0,anomaly
0,tcp,http,SF,232,8153,normal
0,tcp,http,SF,199,420,normal
0,tcp,private,REJ,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
0,tcp,remote_job,S0,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
0,tcp,ftp_data,SF,491,0,normal
0,udp,other,SF,146,0,normal
0,tcp,private,S0,0,0,anomaly
0,tcp,http,SF,232,8153,normal
0,tcp,http,SF,199,420,normal
0,tcp,private,REJ,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
0,tcp,remote_job,S0,0,0,anomaly
0,tcp,private,S0,0,0,anomaly
